X,Y,Thickness
260914.55,565881.53,0
261414.55,565881.53,0
261914.55,565881.53,2.2
262914.55,565881.53,15.45
263414.55,565881.53,16.27
263914.55,565881.53,16.08
264414.55,565881.53,23.65
264914.55,565881.53,42.86
265414.55,565881.53,38.95
237414.55,566381.53,40.65
237914.55,566381.53,40.03
238414.55,566381.53,40.36
238914.55,566381.53,42.05
239414.55,566381.53,41.37
239914.55,566381.53,34.1
240414.55,566381.53,30.78
240914.55,566381.53,35.56
241414.55,566381.53,44.63
241914.55,566381.53,50.8
242414.55,566381.53,50.69
242914.55,566381.53,41.85
243414.55,566381.53,30.98
243914.55,566381.53,36.49
244414.55,566381.53,40.31
244914.55,566381.53,31.23
245414.55,566381.53,22.69
245914.55,566381.53,21.1
246414.55,566381.53,21.49
246914.55,566381.53,14.05
247414.55,566381.53,4.59
247914.55,566381.53,6.61
248414.55,566381.53,13.49
248914.55,566381.53,30.57
249414.55,566381.53,35.53
249914.55,566381.53,28.71
250414.55,566381.53,18.1
250914.55,566381.53,19.29
251414.55,566381.53,16.91
251914.55,566381.53,4.01
252414.55,566381.53,0.16
253914.55,566381.53,1.95
254414.55,566381.53,11.04
254914.55,566381.53,11.56
255414.55,566381.53,18.27
255914.55,566381.53,25.38
256414.55,566381.53,15.15
256914.55,566381.53,11.15
257414.55,566381.53,41.46
257914.55,566381.53,36.95
258414.55,566381.53,24.14
258914.55,566381.53,30.68
259414.55,566381.53,57.95
259914.55,566381.53,23.13
260414.55,566381.53,9.93
260914.55,566381.53,6.88
261414.55,566381.53,6.9
261914.55,566381.53,14.09
262414.55,566381.53,25.23
262914.55,566381.53,19.14
263414.55,566381.53,21.29
263914.55,566381.53,18.83
264414.55,566381.53,18.02
264914.55,566381.53,53.38
265414.55,566381.53,33.03
236414.55,566881.53,40.69
236914.55,566881.53,41.72
237414.55,566881.53,41.33
237914.55,566881.53,39.69
238414.55,566881.53,39.3
238914.55,566881.53,43.14
239414.55,566881.53,45.99
239914.55,566881.53,34.11
240414.55,566881.53,28.86
240914.55,566881.53,34.39
241414.55,566881.53,44.12
241914.55,566881.53,48.97
242414.55,566881.53,51.34
242914.55,566881.53,42.74
243414.55,566881.53,29.66
