x_coor;y_coor;dip_azi;dip;thick;throw;depth_mid;h1;h2;h3;h4;h5;h6;h7;f_s1;f_s2;f_s3;f_s4;f_s5;f_s6;f_s7;f_d1;f_d2;f_d3;f_d4;f_d5;f_d6;f_d7;d_c1;d_c2;d_c3;d_c4;d_c5;d_c6;d_c7;sv_grad1;sv_grad2;sv_grad3;sv_grad4;sv_grad5;sv_grad6;sv_grad7;shsv1;shsv2;shsv3;shsv4;shsv5;shsv6;shsv7
249201.9999;591610.2965;60.80999193;66.61770534;247.7864613;7.614695895;-2981.060383;-2756.1;-2798.35;-2798.35;-2840.15;-2861.93;-3104.95;-3104.95;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
249167.1989;591638.9069;61.35955183;67.73627393;237.410568;3.271656644;-2986.248329;-2765.45;-2807.32;-2807.32;-2869.15;-2869.15;-3104.95;-3104.95;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
249130.8677;591665.6677;61.82907905;68.38851421;226.1882348;0.637470182;-2991.859496;-2778.41;-2817.71;-2817.71;-2880.16;-2880.16;-3104.95;-3104.95;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
249093.814;591691.5553;62.13687014;68.36717756;217.1804634;0.049734989;-2996.363944;-2785.85;-2825.08;-2825.08;-2888.57;-2888.57;-3104.95;-3104.95;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
249056.6685;591717.332;62.06291053;68.14242075;210.3802575;0.002880496;-2999.783068;-2789.99;-2830.45;-2830.45;-2895.88;-2895.88;-3104.95;-3104.95;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
249020.4499;591744.2289;61.39070847;67.61065435;205.8787611;0.026369796;-3002.274167;-2792.92;-2833.78;-2833.78;-2900.15;-2900.15;-3104.95;-3104.95;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
248985.3197;591772.4413;60.6822598;65.75363745;204.0788024;0.244435016;-3004.357267;-2793.47;-2835.72;-2835.72;-2902.98;-2902.98;-3104.95;-3104.95;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
248958.0078;591810.1032;60.13852181;63.18310291;204.6934691;1.211075759;-3006.485866;-2792.73;-2836.05;-2836.67;-2904.32;-2904.36;-3108.94;-3109.37;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
248933.6641;591851.3525;59.70233739;61.75086149;205.5891191;3.554398476;-3008.349577;-2790.08;-2835.4;-2837.79;-2903.95;-2906.58;-3110.63;-3113.8;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
248917.5727;591902.5758;59.48049251;61.16946176;205.0323603;7.337354743;-3009.61176;-2786.95;-2833.93;-2839.81;-2903.69;-2910.5;-3109.35;-3115.88;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
